team,name,position,actual,pregame,screenshot_projection,clock,remaining_fraction,expected_final,model_final,error
Saco,Brandon Aubrey,K,0.0,7.519,7.03,SOON,1.0,7.03,7.519,0.4889999999999999
Saco,DEN,DEF,0.0,7.1499999999999995,7.15,SOON,1.0,7.15,7.1499999999999995,-8.881784197001252e-16
TJ,Jaxson Dart,QB,0.0,21.266,21.27,SOON,1.0,21.27,21.266,-0.004000000000001336
TJ,Javonte Williams,RB,0.0,16.183,16.18,SOON,1.0,16.18,16.183,0.0030000000000001137
TJ,Bhayshul Tuten,RB,8.3,9.699,9.7,5:06,0.335,9.7,9.7001325,0.0001325000000012011
TJ,Puka Nacua,WR,9.9,17.188,17.19,FINAL,0.0,9.9,9.9,0.0
TJ,Nico Collins,WR,12.8,13.648000000000001,15.43,10:18,0.4216666666666667,15.43,15.43344888888889,0.003448888888890167
TJ,Tyler Warren,TE,1.4,11.073,6.57,14:54,0.49833333333333335,6.57,6.568048888888889,-0.0019511111111114587
TJ,Zay Flowers,WR,23.5,12.788,29.34,14:54,0.49833333333333335,29.34,29.335898611111112,-0.004101388888887669
TJ,Harrison Mevis,K,1.0,7.720000000000001,7.21,FINAL,0.0,1.0,1.0,0.0
TJ,CHI,DEF,4.0,6.7700000000000005,5.38,HALF,0.5,5.38,5.385,0.004999999999999893
Gerry,Lamar Jackson,QB,23.16,21.8412,28.95,15:00,0.5,28.95,28.95,0.0
Gerry,Bijan Robinson,RB,19.5,17.226,23.19,11:06,0.435,23.19,23.1898875,-0.0001125000000001819
Gerry,Jonathan Taylor,RB,15.7,17.117,20.33,15:00,0.5,20.33,20.3335,0.003500000000002501
Gerry,Rashee Rice,WR,0.0,10.186,10.19,SOON,1.0,10.19,10.186,-0.0039999999999995595
Gerry,Garrett Wilson,WR,7.1,12.335,10.26,8:38,0.3938888888888889,10.26,10.26356237654321,0.0035623765432095666
Gerry,Trey McBride,TE,0.0,11.013000000000002,11.01,SOON,1.0,11.01,11.013000000000002,0.00300000000000189
Gerry,De'Von Achane,RB,0.0,14.816,14.82,SOON,1.0,14.82,14.816,-0.0039999999999995595
Gerry,Jake Bates,K,2.0,7.944,4.76,11:14,0.43722222222222223,4.76,4.981175432098766,0.22117543209876622
Gerry,LAC,DEF,0.0,8.129999999999999,8.13,SOON,1.0,8.13,8.129999999999999,-1.7763568394002505e-15
Creed,Josh Allen,QB,27.72,21.486200000000004,32.73,10:31,0.42527777777777775,32.73,32.733472138888885,0.00347213888888831
Creed,James Cook,RB,4.7,15.099,9.97,10:31,0.42527777777777775,9.97,9.972511195987654,0.0025111959876529255
Creed,Chase Brown,RB,12.3,14.957,14.69,5:46,0.3461111111111111,14.69,14.693069907407407,0.003069907407407868
Creed,Jaylen Waddle,WR,0.0,11.741000000000001,11.74,SOON,1.0,11.74,11.741000000000001,0.0010000000000012221
Creed,Courtland Sutton,WR,0.0,8.481,8.48,SOON,1.0,8.48,8.481,0.0009999999999994458
Creed,Isaiah Likely,TE,0.0,8.41,8.41,SOON,1.0,8.41,8.41,0.0
Creed,Woody Marks,RB,2.3,8.166,5.21,10:31,0.42527777777777775,5.21,5.210660177469135,0.0006601774691352702
Creed,Eddy Pineiro,K,10.6,7.016,6.56,FINAL,0.0,10.6,10.6,0.0
Creed,DET,DEF,15.0,7.3500000000000005,15.0,11:34,0.44277777777777777,15.0,15.0,0.0
